Call period (sec),Call duration (pulses)
3.831620895,15.31451023
3.833830495,13.78906839
5.049798574,21.87941497
4.687298544,16.12121748
4.943741065,16.27771758
5.135293484,16.487502
4.761412864,14.84262802
4.763160001,13.88394443
4.91454918,11.95757382
5.626892507,16.4386085
5.297492197,14.70531936
5.629743977,14.99064372
5.848693928,14.80249085
5.850022374,14.20311808
5.632498491,13.71375437
5.698514883,13.15881082
6.560494263,13.28922233
6.386233925,13.9375303
6.003669815,16.23327427
6.166737,15.8265352
6.212802331,16.33811605
6.355737532,16.65366647
6.653292196,16.49729814
6.938302805,16.34225526
5.554520446,10.83822059
6.554995211,15.48034253
6.8356756,15.38369238
8.085111071,14.57984755
6.281448866,17.69028015
6.652013758,17.08449785
5.976044215,18.78977688
6.351075792,19.03293378
6.726570764,17.97658801
7.068848871,17.58290391
7.342998233,17.69661678
7.337355996,20.353909
8.519407402,17.4789274
8.263466897,17.58920208
8.552960903,17.09435006
9.056739187,16.77352621
9.221826215,20.04338973
9.959862212,17.26421746
10.95246914,17.93956823
11.46743109,17.16032667
11.86108551,18.8792752
12.98995841,20.64145363
15.02741442,17.28051183
24.98092333,25.33771429