lower_mandible_length,count,survival_lower_mandible_length,survival_count
6.298711304,0.94761171,,0
6.570458047,1.920437036,,0
6.798781342,3.897604707,,0
7.003992156,7.377083625,,0
7.205350889,28.60694775,7.215506373,6.355932203
7.463090069,24.58117383,7.515968623,1.825885978
7.672853341,24.81019751,,0
7.931993276,19.78428351,,0
8.137904468,22.76369239,,0
8.392491946,20.98823365,,0
8.61696316,10.71578652,,0
8.844936266,12.94298921,,0
9.104076201,7.917075221,,0
9.361115002,4.691371341,9.318391932,4.895643648
9.573329598,2.870149881,9.61535229,2.865947612
9.807255918,0.846757249,9.828967643,0.344586076
10.05904188,1.071578652,10.0811038,0.319372461
10.31152823,0.796330018,10.3122286,0.29625998