beak_depth_midpar,beak_depth_offspring,tarsus_midpar,tarsus_offspring
-1.655563842,0.114803625,-1.559999494,-1.432024169
-1.65150615,-2.592145015,-1.131325134,-0.827794562
-0.795257177,-1.734138973,-0.967955606,-0.767371601
-1.032158162,-1.226586103,-1.566332529,0.549848943
-0.968524441,-0.948640483,-1.43155646,-0.501510574
-0.654375608,-0.839879154,-1.255369174,-0.356495468
-0.64364358,-1.419939577,-1.180320823,-0.441087613
-1.079257733,-0.235649547,-1.142246773,-0.3081571
-1.155860901,-0.64652568,-0.354144282,-1.166163142
-0.790289348,-0.151057402,-0.703257531,-0.416918429
-0.551037177,0.090634441,-0.539925925,-0.36858006
-0.538143574,0.19939577,-0.777737046,-0.151057402
-0.962305174,1.033232628,-0.802007357,0.114803625
-0.614708819,-0.19939577,-0.95195237,0.332326284
-0.514100798,-0.13897281,-0.951345612,0.525679758
-0.250767928,-0.223564955,-0.923700211,1.335347432
-0.363814484,-0.247734139,-0.410458987,0.888217523
-0.452173583,-0.404833837,-0.52361931,0.827794562
-0.037720108,-0.332326284,-0.687368062,0.64652568
-0.100822915,-0.441087613,-0.311064481,0.561933535
-0.251336763,-0.404833837,-0.411520813,0.549848943
-0.326916027,-0.489425982,-0.412051726,0.380664653
-0.264344133,-0.549848943,-0.52506036,0.36858006
-0.189333704,-0.64652568,-0.425703776,0.03021148
-0.390132602,-0.634441088,-0.325399133,-0.006042296
-0.258162788,1.419939577,-0.237077956,0.13897281
0.042523607,1.238670695,-0.276062142,-0.283987915
-0.511635844,0.64652568,-0.213035179,-0.19939577
-0.310836946,0.634441088,-0.175795422,-0.332326284
-0.160133487,0.658610272,-0.075073633,-0.235649547
0.041006712,0.755287009,-0.062900555,-0.356495468
0.15424288,0.839879154,0.050373535,-0.259818731
-0.223880974,0.344410876,-0.074770254,-0.13897281
0.027658041,0.501510574,0.223185731,-1.190332326
-0.073556738,0.247734139,0.098421166,-0.948640483
-0.111592866,0.126888218,-0.084364611,0.803625378
-0.212314654,0.03021148,0.012185718,-0.429003021
-0.074201418,0.042296073,0.052269653,0.344410876
0.05124575,0.018126888,0.064442731,0.223564955
0.114386479,0.13897281,0.202252588,0.13897281
0.191217181,0.622356495,0.315337067,0.175226586
0.366721865,0.549848943,0.303239834,0.320241692
0.328230669,0.283987915,0.929982682,0.042296073
0.378136495,0.187311178,0.641203909,0.018126888
0.277566396,0.13897281,0.778899999,-0.102719033
0.5411268,0.126888218,0.778520775,-0.223564955
0.365167048,0.054380665,0.827516465,-0.610271903
0.214084365,-0.090634441,1.18975085,-1.178247734
0.326941309,-0.126888218,1.555512015,-0.622356495
0.389020213,-0.344410876,0.931158275,0.416918429
0.363005473,-0.634441088,0.88159375,0.622356495
0.375140629,-0.767371601,0.617995424,0.622356495
0.161486051,-0.851963746,0.493003325,0.791540785
0.048629107,-0.81570997,0.367480312,0.791540785
0.035621737,-0.960725076,0.343437536,1.129909366
0.903019884,-0.549848943,0.205703523,1.238670695
0.753719552,-0.126888218,0.898165822,1.903323263
0.941890303,-0.163141994,0.769684865,0.960725076
0.942269527,-0.042296073,0.870254965,1.009063444
0.894183974,0.634441088,1.108976223,1.081570997
0.74389766,0.743202417,1.045342502,0.803625378
1.332338925,0.259818731,1.698441391,0.924471299
2.025521748,1.15407855,1.599577798,1.419939577
,,2.126395227,1.299093656