foster_beak_depth,family_beak_depth
5.568409006,5.958428958
5.758119044,5.815123004
5.787931576,6.038504309
5.866029958,6.093721705
5.865738274,6.036746103
5.949688567,6.035036511
5.899354852,6.203184217
6.122754388,6.240560276
6.135096266,5.85134043
6.081645179,5.81056139
5.987832322,5.885783445
5.906136504,5.92786696
5.924226987,5.861541266
5.897471059,5.835216788
5.877126103,5.861168559
5.944450409,5.811849661
6.071089865,5.748756798
5.907394391,5.773574243
5.845751846,5.732730385
5.911222743,5.721379017
5.876165976,5.673623869
5.887760414,5.538404043
5.807565553,5.473674509
5.985899916,5.508320083
5.991776133,5.456141062
6.119144799,5.535487203