down 1,,,down 2,,,control 1,,,control 2,,,up 1,,,up 2,
-0.038314176,1.237940456,,-0.039801387,1.240368852,,-0.00141015,1.239356502,,-0.020603858,1.239357677,,-0.055944606,1.239533795,,-0.036745613,1.238917696
0.957854406,1.22509186,,0.978089533,1.229918033,,0.996976012,1.241744355,,0.940021622,1.246645802,,0.915965064,1.264902431,,0.975529153,1.247622158
1.954022989,1.195644903,,1.9967686,1.225614754,,1.934569043,1.219033891,,1.938172759,1.247196935,,1.931701944,1.246446613,,1.950900936,1.245830514
3.007662835,1.187103119,,2.956494325,1.21147541,,2.953167353,1.229379691,,2.995080144,1.256928145,,2.943425919,1.259472028,,2.960421748,1.276139743
3.927203065,1.169331779,,3.994640605,1.209016393,,3.970512198,1.229929649,,3.859658744,1.263609906,,3.991816823,1.284845385,,3.955071209,1.273114722
4.980842912,1.152798191,,4.957124842,1.216393443,,4.948764552,1.224971797,,4.91147392,1.233545509,,4.965536234,1.296016602,,4.926666142,1.300952475
5.938697318,1.149168551,,5.975803909,1.212090164,,5.965169296,1.218174874,,5.946132272,1.21940053,,5.959792273,1.296077976,,5.981587851,1.275091667
6.954022989,1.162140805,,7.031447037,1.196106557,,6.965905708,1.238929931,,6.927204926,1.236483321,,6.973168621,1.29614053,,6.934062475,1.30292824
7.950191571,1.122857782,,7.954129887,1.193032787,,8.00009401,1.221111512,,7.998135468,1.205805509,,7.987489181,1.288795735,,7.987803918,1.286326619
8.98467433,1.141978754,,9.032313997,1.202868852,,8.981558372,1.241255504,,8.923115491,1.234524388,,8.977811,1.319721064,,8.980958376,1.2950299
9.961685824,1.116833899,,10.06510088,1.158606557,,10.03423531,1.217925748,,9.997963117,1.234458581,,10.03186718,1.300650327,,9.977417578,1.277807459
,,,,,,,,,,,,,,,,
down 1,,,down 2,,,control 1,,,,,,,,,,
0,0.873839009,,0.019120459,0.87755418,,-0.038240918,0.88498452,,,,,,,,,
0.994263862,0.866408669,,1.013384321,0.880650155,,0.994263862,0.871981424,,,,,,,,,
1.988527725,0.862074303,,1.988527725,0.870123839,,1.969407266,0.881888545,,,,,,,,,
2.963671128,0.862074303,,2.963671128,0.876315789,,2.982791587,0.88250774,,,,,,,,,
3.95793499,0.866408669,,3.938814532,0.865789474,,3.977055449,0.894891641,,,,,,,,,
4.971319312,0.849071207,,4.990439771,0.861455108,,4.971319312,0.885603715,,,,,,,,,
6.022944551,0.829256966,,6.003824092,0.849071207,,6.003824092,0.87755418,,,,,,,,,
6.978967495,0.841021672,,7.055449331,0.836068111,,6.959847036,0.865789474,,,,,,,,,
7.973231358,0.829876161,,7.954110899,0.852786378,,7.973231358,0.883126935,,,,,,,,,
8.948374761,0.820588235,,9.005736138,0.851547988,,9.005736138,0.875696594,,,,,,,,,
9.980879541,0.824922601,,10.05736138,0.815634675,,10,0.870123839,,,,,,,,,