MZ_twin_1,MZ_twin_2,DZ_twin_1,DZ_twin_2
4.188801498,26.23792066,12.26774069,62.94464709
2.986081822,6.973271351,1.106780187,33.09801123
2.32813159,1.026413485,5.099531426,29.72733719
5.712987982,14.98463578,7.25719662,13.04165257
11.13398622,15.74881466,9.188500239,11.0978351
14.10616376,17.81137462,13.04193065,2.942978574
16.17317309,18.97071296,15.11283318,5.912653353
20.15396666,10.03971988,22.98821381,7.964646067
7.941008801,31.01431677,29.95814814,8.984107415
9.879264557,32.30324294,17.11671711,37.71867946
25.85305037,20.11364426,19.33417068,48.83459013
28.28796678,12.34977591,22.33443486,63.95743438
32.03961791,16.86755252,42.19613368,59.64738762
25.35388694,28.00265108,31.18367082,38.85215586
29.47427941,23.98515024,40.9839591,35.98620696
34.12164386,25.00961712,39.11077535,4.955761236
35.407233,22.80857059,44.91497537,3.908769425
36.06184621,27.20371151,47.90439421,13.98853361
55.92104226,21.72987704,51.14520233,20.96430773
45.75368116,33.90696187,65.68490135,1.924351482
56.72804631,36.9867585,50.28897716,42.81960132
42.67165985,40.76705243,57.90406978,43.83767224
36.99649149,41.81376616,59.97080103,44.86770084
26.91644922,34.59411108,64.96883125,28.9517568
18.15481018,40.43195944,64.13429675,60.89321054
20.89283976,53.61571368,,
24.23904227,49.59988135,,
32.3633094,47.38409629,,
37.91278313,47.8893776,,
39.72951553,52.66994499,,
43.99367819,55.50558257,,
47.21084904,51.49002832,,
49.02368825,54.46025927,,
52.36015777,45.91858584,,
54.0481366,50.82874106,,
52.14269493,64.79836486,,
54.83706509,57.68048906,,
58.96858098,58.83537803,,
63.09258856,56.49890388,,
61.16851516,61.80477473,,
62.20938909,65.81115215,,