dN_residuals,piS_residuals
-0.002386616,0.02498771
0.000864721,0.043879051
-0.000289603,0.039508037
0.000381,0.036447392
0.001134348,0.032044184
0.00168633,0.02734746
0.00044453,0.018419324
0.000566352,0.013724539
0.000285758,0.063939192
0.000732004,0.050767111
0.002682674,0.022921138
0.008437693,0.025193066
0.010716042,0.045844153
0.011015065,0.033765906
0.009167286,0.031157081
0.011056064,0.019427242
0.010981242,0.0502562
0.012627018,0.012662196
0.012630122,0.037406046
0.012776849,0.041468474
0.012830918,0.070275056
0.016114713,0.022340753
0.016677682,0.027521092
0.017237802,0.007674917
0.020941477,0.025789732
0.020389797,0.015756366
0.020362106,0.047646182
0.020937878,0.032135354
0.018127946,0.050496853
0.023024012,0.011154677
0.022302042,0.037012248
0.02309661,0.039659132
0.023021059,0.004990171
0.024569403,0.020405778
0.028359778,0.009003679
0.028068072,0.02823267
0.031119684,0.015986046
0.030036266,0.044804568
0.030712024,0.031930018
0.031953083,0.023409641
0.031869226,0.012061687
0.032431452,0.038383171
0.033298214,0.003720138
0.032904698,0.049114482
0.035883647,0.019833804
0.038451852,0.026149712
0.037652013,0.007982231
0.037709525,0.036420244
0.040366387,0.015477021
0.041480578,0.029733973
0.040848318,0.046384748
0.043059323,0.021895929
0.042676147,0.01246134
0.040121694,0.003083253
0.048498509,0.020940611
0.049518386,0.028523253
0.050581909,0.007729928
0.052364707,0.023310706
0.051704939,0.014159944
0.0528285,0.044007599
0.061064004,0.022009514
0.061568048,0.014699586
0.063285098,0.013116832
0.063437181,0.025715593
0.061635494,0.019972419
0.07266126,0.014051749
0.074014298,0.024896082
0.085558856,-4.01314E-05
0.087643012,0.009421019
0.092758202,0.005888378
0.109049546,0.010885424
0.122725387,-2.45289E-05
0.122498665,0.006946783
0.129351029,-5.42507E-05
0.160320183,0.006040645
0.173484004,0.015343202
0.279711987,0.008860444
0.091829736,0.007903917
-0.000219026,0.020803424
0.000936626,0.017102337
0.000948154,0.015868411
0.000181561,0.037924494
0.002351653,0.045637915
0.027270238,0.018352517
0.02728753,0.016501628
0.036806536,0.017587193
0.024510793,0.013723566
0.016004784,0.024206749
0.013213637,0.022971094
0.017169083,0.019580218
0.032204098,0.030232168
0.036701346,0.028846768
0.022121675,0.029454739
0.026032451,0.030845327
0.033799245,0.039487651
0.026515173,0.039174674
0.018108591,0.039015245
0.000713277,0.041009654
0.037408859,0.013114557
0.048043171,0.014817776
0.057000202,0.016057235
0.023824894,0.027142165
0.03726044,0.029001355
0.000266578,0.028824289
0.001370356,0.03067587
0.004161503,0.031911525
0.005266722,0.033608865
-0.001456814,0.033296233
0.023749964,0.035162685
0.015888066,0.036700251
0.011261131,0.051967319