replicate,generation,sex ratio
rep_1_down,-0.008765123,0.25479208
rep_1_down,0.994616394,0.771235068
rep_1_down,2.003209089,0.542479716
rep_2_down,-0.008784282,0.25753178
rep_2_down,0.994635553,0.768495368
rep_2_down,1.996752594,0.465758542
rep_2_down,3.017530247,0.494554128
rep_1_up,-0.010048759,0.794503358
rep_1_up,0.993064536,0.349302143
rep_1_up,1.984874175,0.5205238
rep_1_up,3.005900892,0.513703289
rep_2_up,-0.017060858,0.797233478
rep_2_up,0.985918326,0.371210162
rep_2_up,1.992365242,0.449301185